step,epoch,loss,learning_rate,grad_norm,step_time,eval_loss,eval_accuracy
0,0.0,2.597632314968613,0.5,1.8230672932314462,0.0001648600009502843,,
0,0.0,,,,,2.438164523983281,0.08055555555555556
1,0.0223,2.231296427738472,0.5,1.1010563010376022,0.00013124500037520193,,
2,0.0445,2.2435796452642274,0.5,1.0487439180975033,0.00012240799696883187,,
3,0.0668,2.148742298498146,0.5,0.9401354252641423,0.00011827100024675019,,
4,0.0891,2.0703993065763515,0.5,0.7903082964608528,0.00011416200140956789,,
5,0.1113,1.9878240299569183,0.5,1.0130992715721203,0.00012968300143256783,,
5,0.1113,,,,,1.844407877429144,0.5027777777777778
6,0.1336,1.8201607281686722,0.5,0.8679176655561329,0.00013700600175070576,,
7,0.1559,1.6921047893179304,0.5,0.7555596469903721,0.00012601599883055314,,
8,0.1781,1.3841006781521732,0.5,0.9173753276169658,0.00011751900092349388,,
9,0.2004,1.6330523389344904,0.5,1.060737667566586,0.00012520400196081027,,
10,0.2227,1.592261977652058,0.5,1.0066834188018543,0.00011618599819485098,,
10,0.2227,,,,,1.4413626865701386,0.6222222222222222
11,0.245,1.3689480278890451,0.5,0.8938910021344816,0.00011162699956912547,,
12,0.2672,1.4436655011684103,0.5,1.133394215374497,0.00010024500079452991,,
13,0.2895,1.3491560687720492,0.5,1.3085400495287456,0.00044168499880470335,,
14,0.3118,1.5486907929389069,0.5,1.7466944533687219,0.0002267259988002479,,
15,0.334,1.3030388002302313,0.5,0.9343137034136724,0.00015946999701554887,,
15,0.334,,,,,1.1588995402612305,0.6944444444444444
16,0.3563,1.2927526335308306,0.5,1.3332694939110317,7.639800242031924e-05,,
17,0.3786,1.614931241356713,0.5,1.8565410850967439,6.758199742762372e-05,,
18,0.4008,1.344004112240741,0.5,1.6007814751756242,6.131899863248691e-05,,
19,0.4231,0.9940773727283811,0.5,0.7981588215001053,5.86239984841086e-05,,
20,0.4454,0.9947532198466444,0.5,0.9795397399109218,5.9414996940176934e-05,,
20,0.4454,,,,,0.9618965498833579,0.7722222222222223
21,0.4676,1.1352139606684604,0.5,1.2561151957873815,6.018799831508659e-05,,
22,0.4899,1.046652280843736,0.5,1.3174989528043908,5.797300036647357e-05,,
23,0.5122,0.8537117798358183,0.5,1.3757225024199478,5.780300125479698e-05,,
24,0.5344,1.2883125378247755,0.5,1.9386385749670278,5.783299639006145e-05,,
25,0.5567,1.1004672473423731,0.5,1.2777705883032524,5.610899825114757e-05,,
25,0.5567,,,,,0.8415799001663702,0.7444444444444445
26,0.579,0.8220817740778021,0.5,0.9648656076654084,6.354400102281943e-05,,
27,0.6013,0.6629393814482696,0.5,0.8044378543183683,5.998599954182282e-05,,
28,0.6235,1.0860160808716501,0.5,1.4131319571567809,5.75319972995203e-05,,
29,0.6458,0.867146305190288,0.5,1.4226120064369165,5.6609998864587396e-05,,
30,0.6681,0.7744293420644928,0.5,1.1778751036545958,5.614900146611035e-05,,
