step,epoch,loss,learning_rate,grad_norm,step_time,eval_loss,eval_accuracy
0,0.0,2.569473141039519,0.05,1.443737474564921,9.904299804475158e-05,,
0,0.0,,,,,2.3584221358889113,0.12222222222222222
1,0.2,2.3113647334662932,0.1,1.3546757795187994,5.948599937255494e-05,,
2,0.4,2.2133629064426907,0.15,1.302762453842567,5.122000220580958e-05,,
3,0.6,2.4922577205070033,0.2,1.4209030998759804,4.76929999422282e-05,,
4,0.8,2.255563524967698,0.25,1.4593645349550137,4.672099748859182e-05,,
5,1.0,1.8577666988384096,0.3,1.1340603421148145,6.425500032491982e-05,,
5,1.0,,,,,2.201990868350884,0.26666666666666666
6,1.2,1.9268011196127257,0.35,1.2411191970287232,4.967600034433417e-05,,
7,1.4,2.673979179734207,0.4,1.6769108373574526,4.670999987865798e-05,,
8,1.6,2.2097018025719155,0.45,1.381658716923501,4.507800258579664e-05,,
9,1.8,2.4253546635403946,0.5,1.1981869778305838,4.545800038613379e-05,,
10,2.0,2.069481731762726,0.5,1.290537946279652,5.2863000746583566e-05,,
10,2.0,,,,,2.0373838096313035,0.30277777777777776
11,2.2,1.9795924514472765,0.4999980232351797,1.4225228122939277,4.898499901173636e-05,,
12,2.4,1.7005972958226878,0.49999209297197983,1.4438340502363842,9.099699673242867e-05,,
13,2.6,2.33393829959799,0.49998220930418213,1.5005233574134145,7.036700117168948e-05,,
14,2.8,1.851850981875634,0.4999683723880881,1.14448714771225,5.41360022907611e-05,,
15,3.0,1.8047297675372396,0.4999505824425164,1.2529220226504347,5.71509990550112e-05,,
15,3.0,,,,,1.7445855288866028,0.4388888888888889
16,3.2,1.541742878534182,0.4999288397487993,1.450940548895113,9.107699952437542e-05,,
17,3.4,1.9762448515270223,0.49990314465077845,1.949526612709733,6.568800017703325e-05,,
18,3.6,1.9520405073409357,0.49987349755479904,1.684865643765183,9.13479998416733e-05,,
19,3.8,1.6360720382219989,0.4998398989297038,1.7128990846928396,5.775200042990036e-05,,
20,4.0,1.3619522626969243,0.49980234930682543,1.367324552805759,0.00011253900083829649,,
20,4.0,,,,,1.448803252007137,0.6138888888888889
21,4.2,1.3649755119785092,0.4997608492799781,1.2744189233973426,6.980599937378429e-05,,
22,4.4,1.4192562083171245,0.4997153995054481,1.9497605411070191,5.26529984199442e-05,,
23,4.6,1.7312212245999055,0.49966600070198364,2.7929871205839434,4.835400250158273e-05,,
24,4.8,1.7085499913810893,0.4996126536507831,1.9402976907874034,5.380499715101905e-05,,
25,5.0,1.1256233037709458,0.4995553591954832,1.780956138340577,7.437400199705735e-05,,
25,5.0,,,,,1.4434235053754434,0.5111111111111111
26,5.2,1.3908167470111041,0.4994941182421453,1.6408693324795898,5.272299677017145e-05,,
27,5.4,1.3484188175216512,0.49942893175924097,1.9726204210174865,4.726199767901562e-05,,
28,5.6,1.2911735079654063,0.49935980077763703,1.403308611522115,4.5779001084156334e-05,,
29,5.8,1.5343411524623711,0.499286726390579,2.1093340225645636,4.4997999793849885e-05,,
30,6.0,1.3734173966007435,0.49920970975367396,2.379291637114353,4.9715999921318144e-05,,
30,6.0,,,,,1.4197194689552979,0.475
31,6.2,1.0902940201719762,0.49912875208487206,1.5917848243431718,4.754299880005419e-05,,
32,6.4,0.6610345687207079,0.49904385466444756,1.183130442222295,4.593000267050229e-05,,
33,6.6,0.8484635164831116,0.4989550188349782,1.2340382906663487,4.484699820750393e-05,,
34,6.8,1.2371229683668528,0.49886224600132445,2.187436800383613,4.5048000174574554e-05,,
35,7.0,0.4570641909196539,0.4987655376306068,1.1838822204255857,4.924600216327235e-05,,
35,7.0,,,,,1.1719245096658522,0.5777777777777777
36,7.2,1.1290968562231973,0.49866489525218305,2.2243715478850175,9.156799933407456e-05,,
37,7.4,1.090884774719135,0.49856032045762355,1.4667163519258242,5.8314002671977505e-05,,
38,7.6,0.5292503390866296,0.4984518149006865,1.056233529785618,5.0569000450195745e-05,,
39,7.8,0.36843282064300675,0.49833938029729175,0.8575441641735567,4.7412002459168434e-05,,
40,8.0,0.48087837969104097,0.4982230184254933,1.1678603781520565,5.3122999815968797e-05,,
40,8.0,,,,,0.9134377313130241,0.6527777777777778
41,8.2,0.40870602510837495,0.4981027311254518,1.1915044461859217,5.0449001719243824e-05,,
42,8.4,0.24028880512284273,0.4979785202994047,0.5135022127234347,4.790299863088876e-05,,
43,8.6,0.5532333111958927,0.4978503879116367,0.9750133983008759,5.619999865302816e-05,,
44,8.8,0.8769332077310917,0.4977183359884487,1.9370023551787956,6.392399882315658e-05,,
45,9.0,1.019310174626146,0.4975823666181255,1.9811097522754526,8.688899833941832e-05,,
45,9.0,,,,,0.7713765169833806,0.7861111111111111
46,9.2,0.3706311878106754,0.4974424819509027,1.1183434353759523,5.766200047219172e-05,,
47,9.4,0.3892910663580823,0.497298684198933,1.2143336699886058,4.798399822902866e-05,,
48,9.6,0.6699811709874651,0.49715097563625127,1.5646330146032486,5.266199877951294e-05,,
49,9.8,0.44463260026970597,0.4969993585987381,0.8918068637550868,9.564600259182043e-05,,
50,10.0,0.2719342213046521,0.49684383548408334,0.6225142004146149,6.80029988870956e-05,,
50,10.0,,,,,0.6638069743950943,0.8083333333333333
51,10.2,0.1733396814370446,0.49668440875174796,0.6511648302717956,5.39760003448464e-05,,
52,10.4,0.22267429771292158,0.49652108092292524,0.6811412274574897,4.800399983651005e-05,,
53,10.6,0.31478978852025036,0.49635385458050074,0.8784744118448381,4.695099778473377e-05,,
54,10.8,0.6692959384962893,0.4961827323690118,1.9444281600574995,4.7061999794095755e-05,,
55,11.0,0.3380341401431646,0.49600771699460516,1.555447060640993,9.35120006033685e-05,,
55,11.0,,,,,0.7951942486425103,0.7416666666666667
56,11.2,0.3673628657551952,0.4958288112249949,0.9637155791038617,8.75410005392041e-05,,
57,11.4,0.34607965183900974,0.495646017889418,0.976086504095209,6.299300002865493e-05,,
58,11.6,0.25680977748858336,0.4954593398785899,0.918154225980015,5.7491997722536325e-05,,
59,11.8,0.3859285271756686,0.4952687801446588,1.1284935083319376,4.978700235369615e-05,,
60,12.0,0.06474030322939783,0.49507434170115905,0.26675185565722975,5.656999928760342e-05,,
60,12.0,,,,,0.6887785533615536,0.7944444444444444
61,12.2,0.19665654719132913,0.4948760276229631,0.6348677109020464,5.35039980604779e-05,,
62,12.4,0.1367114860112059,0.49467384104623335,0.44675882827662344,4.8603997129248455e-05,,
63,12.6,0.20850313621363503,0.4944677851683723,0.6614713290708636,4.6329998440342024e-05,,
64,12.8,0.3331728166803295,0.49425786324797205,0.8765680071104812,4.613000055542216e-05,,
65,13.0,0.3470202166704768,0.49404407860476274,1.255208945836618,5.160100045031868e-05,,
65,13.0,,,,,0.6964524694181534,0.7833333333333333
66,13.2,0.09746238955373501,0.49382643461956,0.2947264834792719,7.298199852812104e-05,,
67,13.4,0.1616730875845514,0.49360493473421163,0.5335073467551378,0.00010878199827857316,,
68,13.6,0.30938781249150976,0.4933795824515431,0.9772557176925841,7.946500045363791e-05,,
69,13.8,0.17061766135509307,0.4931503813353022,0.7943955704722635,5.531700298888609e-05,,
70,14.0,0.07300380117142605,0.4929173350101025,0.21666682039615037,5.724199945689179e-05,,
70,14.0,,,,,0.5731839969529612,0.8222222222222222
71,14.2,0.1171021240896189,0.49268044716136616,0.5826871248588303,5.297299867379479e-05,,
72,14.4,0.3222990660174796,0.4924397215352658,1.2749154367081448,5.647999932989478e-05,,
73,14.6,0.2571703608074245,0.4921951619386649,1.0770486228333502,4.9385998863726854e-05,,
74,14.8,0.06929614626051628,0.49194677223905803,0.2783825225166998,4.944600004819222e-05,,
75,15.0,0.14064882188461364,0.4916945563645093,0.45334362721082916,5.16399995831307e-05,,
75,15.0,,,,,0.5877006944708565,0.8305555555555556
76,15.2,0.25894040981958577,0.4914385183035904,1.1471832947380523,9.54550014284905e-05,,
77,15.4,0.2077414692899943,0.4911786621053177,1.1749015659386255,5.973699808237143e-05,,
78,15.6,0.08371301161806685,0.4909149918790878,0.3355252907145891,5.1701001211768016e-05,,
79,15.8,0.08433942522843947,0.4906475117946131,0.41378603302009637,4.777300273417495e-05,,
80,16.0,0.03198551405223121,0.4903762260818551,0.13186326447506796,5.2632000006269664e-05,,
80,16.0,,,,,0.6400582597947466,0.8
81,16.2,0.10570097174333673,0.4901011390309584,0.6030868977180261,5.157999839866534e-05,,
82,16.4,0.05766984440634574,0.48982225499218235,0.24162700028629017,4.716200055554509e-05,,
83,16.6,0.46202002699578804,0.48953957837583195,1.7955017423883664,4.612900011125021e-05,,
84,16.8,0.06322084201271344,0.4892531136521889,0.3153760218932147,4.66110031993594e-05,,
85,17.0,0.22209262730896834,0.4889628653514402,1.271348128905862,4.9836999096442014e-05,,
85,17.0,,,,,0.5681286666373434,0.8222222222222222
86,17.2,0.047810288970679224,0.48866883806360695,0.182491310916639,4.821399852517061e-05,,
87,17.4,0.07384995737067676,0.4883710364384716,0.2582552742525237,4.5568998757516965e-05,,
88,17.6,0.23212368658084587,0.4880694651855042,1.0285373160410227,4.61490017187316e-05,,
89,17.8,0.09665158327781082,0.4877641290737884,0.5203666135178671,4.573900150717236e-05,,
90,18.0,0.056731329106862176,0.4874550329319457,0.33816131138578065,4.832500053453259e-05,,
90,18.0,,,,,0.6676394772332027,0.8138888888888889
91,18.2,0.07384992626371331,0.487142181648059,0.32056140010659245,4.7912999434629455e-05,,
92,18.4,0.038311939586961816,0.48682558016959576,0.2086613155162271,4.6941000618971884e-05,,
93,18.6,0.07344896360960255,0.48650523350332925,0.2516054431572931,4.5468001189874485e-05,,
94,18.8,0.24414691258208274,0.4861811467152596,1.215066645032007,4.491700019570999e-05,,
95,19.0,0.25342404464112195,0.4858533249305336,1.2227185456664347,4.8032998165581375e-05,,
95,19.0,,,,,0.5946631582402226,0.8305555555555556
96,19.2,0.1682923721761388,0.48552177333336405,0.8916157227357866,4.841400004806928e-05,,
97,19.4,0.06937339240682323,0.48518649716694706,0.29995826237332357,4.5397999201668426e-05,,
98,19.6,0.04343715595365065,0.4848475017333797,0.20623232606473232,4.462700235308148e-05,,
99,19.8,0.040981049167099354,0.4845047923935759,0.1464389945990701,4.469700070330873e-05,,
100,20.0,0.08027141069782084,0.48415837456718197,0.2579040458656574,5.3413998102769256e-05,,
100,20.0,,,,,0.5506261126972518,0.825
101,20.2,0.044716416257297914,0.4838082537324903,0.149323710786503,7.134900079108775e-05,,
102,20.4,0.05642277696166018,0.48345443542635336,0.2660648063070209,5.42050001968164e-05,,
103,20.6,0.02445823907722729,0.4830969252440958,0.1588837792859585,4.911499854642898e-05,,
104,20.8,0.050202321526833515,0.48273572883942606,0.21017235957686803,4.6921999455662444e-05,,
105,21.0,0.05397458688294954,0.48237085192434676,0.16260698459242215,5.262299964670092e-05,,
105,21.0,,,,,0.556907185101313,0.825
106,21.2,0.029811338141960603,0.4820023002690649,0.13886474879269628,6.7070999648422e-05,,
